"id","label","counttotal","treedepth"
"arrhythmias","Arrhythmias",74,"4 3"
"arterial-stiffening","Arterial stiffening",4,"4 5"
"arts","Arts",146,"3"
"ascites","Ascites",1,"5"
"aspergillus-nidulans","Aspergillus nidulans",0,"4"
"assay-systems","Assay systems",44,"2"
"asteroids-comets-and-kuiper-belt","Asteroids, comets and Kuiper belt",33,"2 3"
"asthma","Asthma",30,"4 3"
"astrobiology","Astrobiology",0,"2 3"
"astrochemistry","Astrochemistry",1,"3"
"astrocyte","Astrocyte",30,"3"
"astronomical-instrumentation","Astronomical instrumentation",39,"3"
"astronomical-optics","Astronomical optics",3,"3"
"astronomy-and-astrophysics","Astronomy and astrophysics",632,"2"
"astronomy-and-planetary-science","Astronomy and planetary science",1710,"1"
"astrophysical-plasmas","Astrophysical plasmas",17,"3"
"asymmetric-catalysis","Asymmetric catalysis",16,"4 5 3"
"asymmetric-synthesis","Asymmetric synthesis",12,"3"
"atherosclerosis","Atherosclerosis",51,"4 5 3"
"atmospheric-chemistry","Atmospheric chemistry",91,"2 3"
"atmospheric-dynamics","Atmospheric dynamics",127,"2 3"
"atmospheric-optics","Atmospheric optics",6,"3"
"atmospheric-science","Atmospheric science",372,"2"
"atom-optics","Atom optics",25,"3"
"atomic-and-molecular-collision-processes","Atomic and molecular collision processes",10,"3"
"atomic-and-molecular-interactions-with-photons","Atomic and molecular interactions with photons",43,"3"
"atomic-and-molecular-physics","Atomic and molecular physics",172,"2"
"atomic-force-microscopy","Atomic force microscopy",34,"4 2 3"
"atomistic-models","Atomistic models",42,"3"
"atopic-dermatitis","Atopic dermatitis",3,"4"
"atrial-fibrillation","Atrial fibrillation",38,"4 5"
"attention","Attention",39,"3"
"attosecond-science","Attosecond science",14,"3"
"attribution","Attribution",55,"3"
"auditory-system","Auditory system",89,"2"
"aurora","Aurora",3,"3"
"authorship","Authorship",55,"3"
"autism-spectrum-disorders","Autism spectrum disorders",87,"4 3"
"autocrine-motility-factor","Autocrine motility factor",0,"4 3"
"autoimmune-diseases","Autoimmune diseases",341,"3"
"autoimmune-hepatitis","Autoimmune hepatitis",0,"4 5"
"autoimmune-pancreatitis","Autoimmune pancreatitis",0,"5"
"autoimmunity","Autoimmunity",135,"2"
"autoinflammatory-syndrome","Autoinflammatory syndrome",4,"4"
"autologous-transplantation","Autologous transplantation",1,"5"
"automation","Automation",2,"3"
"autonomic-nervous-system","Autonomic nervous system",19,"4 3"
"autophagosomes","Autophagosomes",6,"3"
"autophagy","Autophagy",154,"2 3"
"autograft","Autotransplantation",1,"3"
"auxin","Auxin",9,"3"
"axon-and-dendritic-guidance","Axon and dendritic guidance",13,"3"
"b-cells","B cells",110,"5 3"
"b-1-cells","B-1 cells",1,"4 6"
"b-2-cells","B-2 cells",2,"4 6"
"b-cell-lymphoma","B-cell lymphoma",35,"5 6"
"b-cell-receptor","B-cell receptor",5,"4 6"
"bacillus-subtilis","Bacillus subtilis",0,"4"
"bacteria","Bacteria",761,"2"
"bacterial-adhesion","Bacterial adhesion",2,"4"
"bacterial-development","Bacterial development",6,"3"
"bacterial-evolution","Bacterial evolution",24,"3"
"bacterial-gene","Bacterial genes",9,"3"
"bacterial-genetics","Bacterial genetics",42,"3"
"bacterial-genomics","Bacterial genomics",33,"3"
"bacterial-host-response","Bacterial host response",24,"3"
"bacterial-immune-evasion","Bacterial immune evasion",15,"3"
"bacterial-infection","Bacterial infection",75,"3"
"bacterial-pathogenesis","Bacterial pathogenesis",59,"3"
"bacterial-physiology","Bacterial physiology",79,"3"
"bacterial-secretion","Bacterial secretion",19,"4 3"
"bacterial-structural-biology","Bacterial structural biology",15,"3"
"bacterial-synthetic-biology","Bacterial synthetic biology",14,"3"
"bacterial-systems-biology","Bacterial systems biology",7,"3"
"bacterial-techniques-and-applications","Bacterial techniques and applications",17,"3"
"bacterial-toxins","Bacterial toxins",11,"3"
"bacterial-transcription","Bacterial transcription",11,"3"
"bacterial-transformation","Bacterial transformation",5,"4"
"bacterial-translocation","Bacterial translocation",1,"4"
"bacteriology","Bacteriology",39,"2"
"bacteriophages","Bacteriophages",19,"2"
